1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
856,,,No,706,GLQ,150,548,RFn,,1710,Gd,8450,,,61,5,7,856,2003,2003,208500
1262,,,Gd,978,ALQ,284,460,RFn,,1262,TA,9600,,,0,8,6,1262,1976,1976,181500
920,,,Mn,486,GLQ,434,608,RFn,,1786,Gd,11250,,,42,5,7,920,2001,2002,223500
961,,,No,216,ALQ,540,642,Unf,,1717,Gd,9550,,,35,5,7,756,1915,1970,140000
1145,,,Av,655,GLQ,490,836,RFn,,2198,Gd,14260,,,84,5,8,1145,2000,2000,250000
796,,,No,732,GLQ,64,480,Unf,,1362,TA,14115,,,30,5,5,796,1993,1995,143000
1694,,,Av,1369,GLQ,317,636,RFn,,1694,Gd,10084,,,57,5,8,1686,2004,2005,307000
1107,,,Mn,859,ALQ,216,484,Unf,,2090,TA,10382,,,204,6,7,1107,1973,1973,200000
1022,,,No,0,Unf,952,468,Unf,,1774,TA,6120,,,0,5,7,952,1931,1950,129900
1077,,,No,851,GLQ,140,205,RFn,,1077,TA,7420,,,4,6,5,991,1939,1950,118000
1040,,,No,906,Rec,134,384,Unf,,1040,TA,11200,,,0,5,5,1040,1965,1965,129500
1182,,,No,998,Unk,177,736,Fin,,2324,Ex,11924,,,21,5,9,1175,2005,2006,345000
912,,,No,737,ALQ,175,352,Unf,,912,TA,12968,,,0,6,5,912,1962,1962,144000
1494,,,Av,0,Unf,1494,840,RFn,,1494,Gd,10652,,,33,5,7,1494,2006,2007,279500
1253,,,No,733,BLQ,520,352,RFn,,1253,TA,10920,,,213,5,6,1253,1960,1960,157000
854,,,No,0,Unf,832,576,Unf,,854,TA,6120,,,112,8,7,832,1929,2001,132000
1004,,,No,578,ALQ,426,480,Fin,,1004,TA,11241,,,0,7,6,1004,1970,1970,149000
1296,,,None,0,None,0,516,Unf,,1296,TA,10791,,,0,5,4,0,1967,1967,90000
1114,,,No,646,GLQ,468,576,Unf,,1114,Gd,13695,,,102,5,5,1114,2004,2004,159000
1339,,,No,504,LwQ,525,294,Unf,,1339,TA,7560,,,0,6,5,1029,1958,1965,139000
1158,,,Av,0,Unf,1158,853,RFn,,2376,Gd,14215,,,154,5,8,1158,2005,2006,325300
1108,,,No,0,Unf,637,280,Unf,,1108,Gd,7449,,,0,7,7,637,1930,1950,139400
1795,,,No,0,Unf,1777,534,RFn,,1795,Gd,9742,,,159,5,8,1777,2002,2002,230000
1060,,,No,840,GLQ,200,572,Unf,,1060,TA,4224,,,110,7,5,1040,1976,1976,129900
1060,,,Mn,188,Rec,204,270,Unf,,1060,Gd,8246,,,90,8,5,1060,1968,2001,154000
1600,,,No,0,Unf,1566,890,RFn,,1600,Gd,14230,,,56,5,8,1566,2007,2007,256300
900,,,Mn,234,Unk,180,576,Unf,,900,Gd,7200,,,32,7,5,900,1951,2000,134800
1704,,,No,1218,GLQ,486,772,Unf,,1704,Gd,11478,,,50,5,8,1704,2007,2008,306000
1600,,,Gd,1277,BLQ,207,319,RFn,,1600,TA,16321,,,258,6,5,1484,1957,1997,207500
520,,,No,0,Unf,520,240,Unf,,520,Fa,6324,,,0,6,4,520,1927,1950,68500
649,,,No,0,Unf,649,250,Unf,,1317,TA,8500,,,54,4,4,649,1920,1950,40000
1228,,,No,0,Unf,1228,271,Unf,,1228,Gd,8544,,,65,6,5,1228,1966,2006,149350
1234,,,Av,0,Unf,1234,484,RFn,,1234,Gd,11049,,,30,5,8,1234,2007,2007,179900
1700,,,No,1018,Rec,380,447,RFn,,1700,Gd,10552,,,38,5,5,1398,1959,1959,165500
1561,,,No,1153,GLQ,408,556,Fin,,1561,Ex,7313,,,47,5,9,1561,2005,2005,277500
1132,,,Av,0,Unf,1117,691,Unf,,2452,Gd,13418,,,32,5,8,1117,2004,2005,309000
1097,,,No,0,Unf,1097,672,Unf,,1097,TA,10859,,,64,5,5,1097,1994,1995,145000
1297,,,No,1213,Rec,84,498,Fin,,1297,TA,8532,,,0,6,5,1297,1954,1990,153000
1057,,,No,731,GLQ,326,246,Unf,,1057,Gd,7922,,,52,7,5,1057,1953,2007,109000
1152,,,None,0,None,0,0,None,,1152,Fa,6040,,,0,5,4,0,1955,1955,82000
1324,,,No,643,Rec,445,440,Unf,,1324,TA,8658,,,138,5,6,1088,1965,1965,160000
1328,,,Gd,967,BLQ,383,308,Unf,,1328,TA,16905,,,104,6,5,1350,1959,1959,170000
884,,,Av,747,ALQ,0,504,RFn,,884,Gd,9180,,,0,7,5,840,1983,1983,144000
938,,,Av,280,LwQ,167,308,Unf,,938,TA,9200,,,0,6,5,938,1975,1980,130250
1150,,,No,179,ALQ,465,300,RFn,,1150,TA,7945,,,0,6,5,1150,1959,1959,141000
1752,,,No,456,GLQ,1296,576,RFn,,1752,Ex,7658,,,82,5,9,1752,2005,2005,319900
1518,,,No,1351,GLQ,83,670,RFn,,2149,Gd,12822,,,43,5,7,1434,2003,2003,239686
1656,,,Av,24,GLQ,1632,826,Unf,,1656,Gd,11096,,,146,5,8,1656,2006,2006,249700
736,,,No,0,Unf,736,0,None,,1452,TA,4456,,,0,5,4,736,1920,2008,113000
955,,,No,763,BLQ,192,386,Unf,,955,TA,7742,,,0,7,5,955,1966,1966,127000
794,,,Av,182,GLQ,612,388,Fin,,1470,TA,13869,,,75,6,6,794,1997,1997,177000
816,,,No,0,Unf,816,528,Unf,,1176,TA,6240,,,0,6,6,816,1934,1950,114500
816,,,Gd,104,LwQ,0,516,Unf,,816,TA,8472,,,0,5,5,816,1963,1963,110000
1842,,,Gd,1810,GLQ,32,894,Fin,,1842,Gd,50271,,,72,5,9,1842,1981,1987,385000
1360,,,No,384,ALQ,0,572,Unf,,1360,TA,7134,,,50,5,5,384,1955,1955,130000
1425,,,No,490,Unk,935,576,RFn,,1425,TA,10175,,,0,5,6,1425,1964,1964,180500
983,,,No,649,GLQ,321,480,Fin,,1739,Gd,2645,,,0,5,8,970,1999,2000,172500
860,,,No,0,Unf,860,565,RFn,,1720,Gd,11645,,,70,5,7,860,2004,2004,196500
1426,,,Gd,0,Unf,1410,641,Fin,,2945,Gd,13682,,,0,5,10,1410,2006,2006,438780
780,,,Av,632,ALQ,148,352,Unf,,780,TA,7200,,,0,7,5,780,1972,1972,124900
1158,,,No,941,ALQ,217,576,Unf,,1158,Gd,13072,,,50,5,6,1158,2004,2004,158000
581,,,No,0,Unf,530,288,Unf,,1111,Fa,7200,,,0,7,5,530,1920,1996,101000
1370,,,Mn,24,GLQ,1346,484,RFn,,1370,Gd,6442,,,49,5,8,1370,2006,2006,202500
902,,,No,0,Unf,576,480,Unf,,1710,TA,10300,,,11,6,7,576,1921,1950,140000
1057,,,No,739,GLQ,318,645,RFn,,2034,Gd,9375,,,36,5,7,1057,1997,1998,219500
1143,,,Av,0,Unf,1143,852,Unf,,2473,Gd,9591,,,151,5,8,1143,2004,2005,317000
2207,,,Gd,912,GLQ,1035,576,RFn,,2207,TA,19900,,,0,5,7,1947,1970,1989,180000
1479,,,Av,1013,GLQ,440,558,RFn,,1479,Gd,10665,,,29,5,7,1453,2003,2003,226000
747,,,No,0,Unf,747,220,Unf,,747,TA,4608,,,0,6,4,747,1945,1950,80000
1304,,,No,603,BLQ,701,667,Fin,,2287,TA,15593,,,21,4,7,1304,1953,1953,225000
2223,,,Gd,1880,ALQ,343,516,Fin,,2223,TA,13651,,,0,6,7,2223,1973,1973,244000
845,,,No,565,ALQ,280,360,Unf,,845,TA,7599,,,0,6,4,845,1982,2006,129500
885,,,No,0,Unf,832,427,Fin,,1718,TA,10141,,,94,5,7,832,1998,1998,185000
1086,,,No,320,ALQ,404,490,Unf,,1086,TA,10200,,,0,7,5,1086,1954,2003,144900
840,,,No,0,Unf,840,379,Unf,,1605,TA,5790,,,0,6,3,840,1915,1950,107400
526,,,Gd,462,GLQ,0,297,Unf,,988,TA,1596,,,101,5,4,462,1973,1973,91000
952,,,No,228,ALQ,724,283,Unf,,952,TA,8475,,,0,7,4,952,1956,1956,135750
1072,,,No,336,BLQ,295,240,Unf,,1285,TA,8635,,,0,5,5,672,1948,2001,127000
1768,,,No,0,Unf,1768,0,None,,1768,TA,10778,,,0,5,4,1768,1968,1968,136500
682,,,No,0,Unf,440,440,Unf,,1230,TA,10440,,,0,6,5,440,1910,1981,110000
1182,,,No,448,Rec,448,509,Fin,,2142,Gd,13000,,,72,6,6,896,1968,1968,193500
